Date/time,Loop number,Mag field x,Mag field y,Mag field z,Latitude,Longitude
2020-04-29 23:52:01.011493,64,-3.56,-14.47,43.05,26.50412047986406,167.33486719327172
2020-04-29 23:52:11.963596,65,-3.42,-14.22,42.41,25.990667839197524,167.8373368897529
2020-04-29 23:52:22.905289,66,-3.51,-14.31,42.08,25.522115154587354,168.28997352604964
2020-04-29 23:53:33.894671,67,-3.47,-14.38,40.56,22.150774761404083,171.39820137202568
2020-04-29 23:53:44.834328,68,-3.82,-14.37,39.48,21.6220720158682,171.8645120470408
2020-04-29 23:53:55.780989,69,-3.69,-14.54,39.09,21.091813694748843,172.32707977839073
2020-04-29 23:54:06.727659,70,-3.78,-15.05,38.31,20.56005614710667,172.78600018872388
2020-04-29 23:54:17.683561,71,-3.76,-15.15,38.19,20.02684718426587,173.24140988182364
2020-04-29 23:55:28.688620,72,-4.17,-15.34,36.87,16.553721604523773,176.10376457805756
2020-04-29 23:55:39.636139,73,-4.14,-15.03,35.62,16.01124749007385,176.53641608084286
2020-04-29 23:55:50.584548,74,-4.29,-15.1,34.94,15.467723234039038,176.9664584513652
2020-04-29 23:56:01.528396,75,-4.42,-15.09,34.5,14.923194940196234,177.39400097265133
2020-04-29 23:56:12.752952,76,-4.38,-15.06,34.15,14.377703589680458,177.8191392673496
2020-04-29 23:57:23.722584,77,-4.41,-15.15,33.2,10.836408453153403,-179.48808233066387
2020-04-29 23:57:34.669366,78,-4.3,-15.55,32.07,10.285013257873798,-179.0778201879779
2020-04-29 23:57:45.621468,79,-4.66,-15.42,31.24,9.732989685190551,-178.66918363031436
2020-04-29 23:57:56.561643,80,-4.57,-15.83,30.78,9.180375301144098,-178.26203605388991
2020-04-29 23:58:07.508814,81,-4.7,-15.94,30.28,8.627205964227581,-177.85632281719114
2020-04-29 23:59:18.489789,82,-5.02,-16.19,29.05,5.045830423877246,-175.26579598954538
2020-04-29 23:59:29.436078,83,-5.03,-16.18,27.93,4.489645558442169,-174.86791014963546
2020-04-29 23:59:40.382133,84,-5.26,-16.44,27.33,3.9332024264791006,-174.4706936682642
2020-04-29 23:59:51.295388,85,-5.41,-16.58,26.22,3.37653496549048,-174.07409190391826
2020-04-30 00:00:02.364415,86,-5.31,-16.75,25.87,2.8196764726485104,-173.67799557357088
2020-04-30 00:01:13.292874,87,-5.23,-16.79,24.41,-0.7769175295854072,-171.1281493526217
2020-04-30 00:01:24.246322,88,-5.1,-16.78,23.43,-1.3341476807677606,-170.73325513556824
2020-04-30 00:01:35.186119,89,-5.31,-16.58,22.76,-1.8912874920261702,-170.33818333359636
2020-04-30 00:01:46.143240,90,-5.28,-16.39,22.0,-2.448303506105873,-169.9428383240577
2020-04-30 00:01:57.080690,91,-5.2,-16.74,21.22,-3.005162852721489,-169.54712448430385
